50	50	0.49	9	4	800	30	3146	0	0	13	1300	98	I-map
20	60	0.38	49	4	800	19	1520	3	340	0	0	50	Conc.full
50	50	0.55	41	4	800	29	3264	0	0	16	1689	57	T-map
30	30	0.43	23	4	800	23	1500	4	214	0	0	53	l.sinus
40	40	0.44	37	4	800	24	2564	4	188	0	0	72	conc.full
50	50	0.62	61	4	1200	43	2910	0	0	1	60	117	concentric
50	50	0.4	30	4	800	31	3346	0	0	23	2179	35	Slant
35	35	0.47	32	4	800	22	2578	4	435	0	0	77	snowflake
35	35	0.67	79	4	800	19	2130	2	166	0	0	65	Areas
40	40	0.39	36	4	800	25	2646	0	0	2	150	114	Eggre
35	35	0.64	58	4	800	22	2666	2	169	0	0	93	Areas
35	35	0.54	34	4	800	23	2666	0	0	13	1316	39	Snowflake
40	40	0.37	39	4	800	25	2548	0	0	8	954	49	snowflake
40	40	0.48	57	4	800	23	2648	0	0	6	758	49	Boxes
35	35	0.44	28	4	800	24	2648	0	0	10	982	37	Slant
35	35	0.55	103	4	800	18	1746	4	83	0	0	64	Areas
35	35	0.39	30	4	1200	16	4350	0	0	7	1344	68	Rectagon.
35	35	0.49	73	4	1200	8	2200	4	637	0	0	29	wormhole
35	35	0.56	45	4	1200	11	3200	0	0	6	1344	38	Concent
35	35	0.47	55	4	1200	10	2850	0	0	5	1009	33	wormhole
35	35	0.38	33	4	1200	9	3250	0	0	2	1138	73	boxes
35	35	0.39	35	4	1200	9	3550	0	0	4	1411	36	boxes
35	35	0.5	67	4	1200	11	1899	4	758	0	0	59	wormhole
35	35	0.37	37	4	800	12	2099	1	52	0	0	59	L.sinus1
35	35	0.42	13	4	800	15	3699	0	0	10	2510	35	Checkers
35	35	0.38	36	4	800	14	3533	0	0	10	2174	22	boxes
35	35	0.31	14	4	800	13	2666	0	0	5	1195	24	Net
35	35	0.34	36	4	800	13	2966	0	0	4	520	60	T-map
